69	urate degradation to allantoin	PWY-5691	9
70	mevalonate degradation	PWY-5074	9
71	superpathway of gluconate degradation	GLUCONSUPER-PWY	9
72	glutaryl-CoA degradation	PWY-5177	9
73	itaconate degradation	PWY-5749	9
74	acetyl-CoA biosynthesis (from pyruvate)	PYRUVDEHYD-PWY	9
75	acetate conversion to acetyl-CoA	PWY0-1313	9
76	methylmalonyl pathway	PROPIONMET-PWY	9
77	sphingosine and sphingosine-1-phosphate metabolism	PWY3DJ-11470	9
78	triacylglycerol degradation	LIPAS-PWY	9
79	anandamide degradation	PWY6666-1	9
80	oleate &beta;-oxidation	PWY0-1337	9
81	fatty acid &beta;-oxidation I	FAO-PWY	9
82	fatty acid &beta;-oxidation II (core pathway)	PWY-5136	9
83	fatty acid &alpha;-oxidation	PWY-2501	9
84	UDP-galactose biosynthesis (salvage pathway from galactose using UDP-glucose)	GALACTMETAB-PWY	9
85	melibiose degradation	PWY0-1301	9
86	D-mannose degradation	MANNCAT-PWY	9
87	2-O-&alpha;-mannosyl-D-glycerate degradation	PWY0-1300	9
88	glucose and glucose-1-phosphate degradation	GLUCOSE1PMETAB-PWY	9
89	lactose degradation III	BGALACT-PWY	9
90	xylose degradation I	XYLCAT-PWY	9
91	sucrose degradation to ethanol and lactate (anaerobic)	PWY-3801	9
92	trehalose degradation II (trehalase)	PWY0-1182	9
93	dopamine degradation	PWY6666-2	9
94	N-acetylglucosamine degradation	GLUAMCAT-PWY	9
95	allantoin degradation to ureidoglycolate I (urea producing)	PWY-5697	9
96	allantoin degradation to ureidoglycolate II (ammonia producing)	PWY-5698	9
97	&beta;-alanine betaine biosynthesis	PWY-4021	9
98	4-hydroxyproline degradation I	HYDROXYPRODEG-PWY	9
99	leucine degradation I	LEU-DEG2-PWY	9
100	valine degradation I	VALDEG-PWY	9
101	tyrosine degradation I	TYRFUMCAT-PWY	9
102	L-cysteine degradation II	LCYSDEG-PWY	9
103	L-cysteine degradation I	CYSTEINE-DEG-PWY	9
104	proline degradation I	PROUT-PWY	9
105	proline degradation II	PWY-4561	9
106	threonine degradation II	THREONINE-DEG2-PWY	9
107	isoleucine degradation I	ILEUDEG-PWY	9
108	glutamine degradation I	GLUTAMINDEG-PWY	9
109	glutamine degradation II	GLUTAMINEFUM-PWY	9
110	homocysteine degradation	HOMOCYSDEGR-PWY	9
111	glutamate degradation X	PWY-5766	9
112	glycine cleavage complex	GLYCLEAV-PWY	9
113	phenylalanine degradation I	PHENYLALANINE-DEG1-PWY	9
114	citrulline-nitric oxide cycle	PWY-4983	9
115	arginine degradation I (arginase pathway)	ARGASEDEG-PWY	9
116	arginine degradation VI (arginase 2 pathway)	ARG-PRO-PWY	9
117	arginine degradation X (arginine monooxygenase pathway)	ARGDEG-V-PWY	9
118	tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde	PWY-5651	9
119	methionine degradation I (to homocysteine)	METHIONINE-DEG1-PWY	9
120	aspartate degradation II	MALATE-ASPARTATE-SHUTTLE-PWY	9
121	alanine degradation III	ALANINE-DEG3-PWY	9
122	asparagine degradation I	ASPARAGINE-DEG1-PWY	9
123	oxidative ethanol degradation III	PWY66-162	9
124	oxidative ethanol degradation I	PWY66-21	9
125	betanidin degradation	PWY-5461	9
126	sorbitol utilization	PWY-4101	9
127	heme degradation	PWY-5874	9
128	formaldehyde oxidation V (tetrahydrofolate pathway)	PWY-1722	9
129	formaldehyde oxidation II (glutathione-dependent)	PWY-1801	9
130	methylglyoxal degradation I	PWY-5386	9
131	glutathione-mediated detoxification	PWY-4061	9
132	TCA cycle variation III (eukaryotic)	PWY-5690	9
133	glycerol-3-phosphate shuttle	PWY-6118	9
134	2-methylbutyrate biosynthesis	PWY-5109	9
135	pyruvate fermentation to lactate	PWY-5481	9
136	acetyl-CoA biosynthesis (from citrate)	PWY-5172	9
137	pentose phosphate pathway (partial)	P21-PWY	9
138	pentose phosphate pathway (non-oxidative branch)	NONOXIPENT-PWY	9
139	pentose phosphate pathway (oxidative branch)	OXIDATIVEPENT-PWY	9
140	glycolysis I	GLYCOLYSIS	9
141	glycolysis II	PWY-5484	9
142	glycolysis III (Thermotoga)	ANAGLYCOLYSIS-PWY	9
143	branched-chain &alpha;-keto acid dehydrogenase complex	PWY-5046	9
144	2-ketoglutarate dehydrogenase complex	PWY-5084	9
145	methyl-coenzyme M reduction to methane	METHFORM-PWY	9
146	aerobic respiration -- electron donors reaction list	AERESPDON-PWY	9
147	aerobic respiration -- electron donor II	PWY-3781	9
148	salvage pathways of guanine, xanthine, and their nucleosides	SALVPURINE2-PWY	9
149	5-aminoimidazole ribonucleotide biosynthesis I	PWY-6121	9
150	inosine-5'-phosphate biosynthesis II	PWY-6124	9
151	pyrimidine ribonucleotides interconversion	PWY-5687	9
152	salvage pathways of pyrimidine deoxyribonucleotides	PWY0-181	9
153	salvage pathways of pyrimidine ribonucleotides	PWY0-163	9
154	uridine-5'-phosphate biosynthesis	PWY-5686	9
155	S-adenosylmethionine biosynthesis	SAM-PWY	9
156	acyl carrier protein metabolism	PWY-6012	9
157	heptaprenyl diphosphate biosynthesis	PWY-5807	9
158	trans,trans-farnesyl diphosphate biosynthesis	PWY-5123	9
159	geranylgeranyldiphosphate biosynthesis	PWY-5120	9
160	folate polyglutamylation I	PWY-2161	9
161	folate transformations	PWY-2201	9
162	folate polyglutamylation II	PWY-2161B	9
163	formylTHF biosynthesis I	1CMET2-PWY	9
164	coenzyme A biosynthesis	COA-PWY	9
165	tetrahydrobioprein biosynthesis II	PWY-5664	9
166	tetrahydrobioprein biosynthesis I	PWY-5663	9
167	heme biosynthesis II	HEME-BIOSYNTHESIS-II	9
168	lipoate salvage and modification	PWY0-522	9
169	lipoate biosynthesis and incorporation II	PWY0-1275	9
170	NAD phosphorylation and dephosphorylation	NADPHOS-DEPHOS-PWY	9
171	NAD salvage pathway III	PWY3O-4106	9
172	NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde	PWY-5653	9
173	glutathione biosynthesis	GLUTATHIONESYN-PWY	9
174	glutathione redox reactions II	GLUT-REDOX-PWY	9
175	thioredoxin pathway	THIOREDOX-PWY	9
176	glutathione redox reactions I	PWY-4081	9
177	tetrapyrrole biosynthesis II	PWY-5189	9
178	sphingomyelin metabolism	PWY3DJ-11281	9
179	fatty acid activation	PWY-5143	9
180	triacylglycerol biosynthesis	TRIGLSYN-PWY	9
181	acyl-CoA hydrolysis	PWY-5148	9
182	wax esters biosynthesis II	PWY-5885	9
183	very long chain fatty acid biosynthesis	PWY-5080	9
184	fatty acids biosynthesis (yeast)	PWY-5970	9
185	&gamma;-linolenate biosynthesis II (animals)	PWY-6000	9
186	oleate biosynthesis II (animals)	PWY-5996	9
187	CDP-diacylglycerol biosynthesis	PWY-5667	9
188	phosphatidylcholine biosynthesis	PWY3O-450	9
189	cardiolipin biosynthesis II	PWY-5269	9
190	phosphatidyl-ethanolamine biosynthesis	PWY-5669	9
191	phosphatidylethanolamine biosynthesis II	PWY4FS-6	9
192	zymosterol biosynthesis	PWY-6074	9
193	ceramide biosynthesis	PWY3DJ-12	9
194	choline biosynthesis III	PWY-3561	9
195	phenylethanol biosynthesis	PWY-5751	9
196	4-hydroxyphenylpyruvate biosynthesis	PWY-5886	9
197	4-hydroxybenzoate biosynthesis I (eukaryotes)	PWY-5754	9
198	L-carnitine biosynthesis	PWY-6100	9
199	trehalose biosynthesis I	TRESYN-PWY	9
200	spermine biosynthesis	ARGSPECAT-PWY	9
201	histamine biosynthesis	PWY-6173	9
202	UDP-N-acetyl-D-glucosamine biosynthesis II	UDPNACETYLGALSYN-PWY	9
203	putrescine biosynthesis III	PWY-46	9
204	spermidine biosynthesis	BSUBPOLYAMSYN-PWY	9
205	serotonin and melatonin biosynthesis	PWY-6030	9
206	catecholamine biosynthesis	PWY66-301	9
207	asparaginyl-tRNAasn biosynthesis via transamidation	PWY490-4	9
208	glutaminyl-tRNAgln biosynthesis via transamidation	PWY-5921	9
209	GDP-mannose metabolism	MANGDPMET-PWY	9
210	GDP-D-rhamnose biosynthesis	GDPRHAMSYN-PWY	9
211	S-adenosyl-L-methionine cycle	PWY-5041	9
212	glutamate biosynthesis III	GLUTSYNIII-PWY	9
213	glutamate biosynthesis II	GLUTAMATE-SYN2-PWY	9
214	glutamate biosynthesis I	GLUTSYN-PWY	9
215	proline biosynthesis II	PROLINE-SYN2-PWY	9
216	proline biosynthesis III	PWY-3341	9
217	tyrosine biosynthesis IV	PWY-6134	9
218	serine biosynthesis	SERSYN-PWY	9
219	glycine biosynthesis I	GLYSYN-PWY	9
220	glycine biosynthesis IV	GLYSYN-THR-PWY	9
221	glycine biosynthesis III	GLYSYN-ALA-PWY	9
222	asparagine biosynthesis III	ASPARAGINESYN-PWY	9
223	selenocysteine biosynthesis II (archaea and eukaryotes)	PWY-6281	9
224	cysteine biosynthesis II	CYSTEINE-SYN2-PWY	9
225	alanine biosynthesis II	ALANINE-SYN2-PWY	9
226	alanine biosynthesis III	PWY0-1021	9
227	glutamine biosynthesis I	GLNSYN-PWY	9
228	aspartate biosynthesis	ASPARTATESYN-PWY	9
229	isoleucine biosynthesis from threonine	ILEUSYN-PWY	9
230	arginine biosynthesis IV	ARGININE-SYN4-PWY	9
231	&beta;-alanine biosynthesis IV	PWY-5155	9
232	hypusine biosynthesis	PWY-5905	9
233	betaxanthin biosynthesis (via dopamine)	PWY-5403	9
234	beta-carboline biosynthesis	PWY-5877	9
235	mevalonate pathway	PWY-922	9
236	myo-inositol biosynthesis	PWY-2301	9
237	dolichyl-diphosphooligosaccharide biosynthesis	MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	9
238	gluconeogenesis	GLUCONEO-PWY	9
239	GDP-mannose biosynthesis II	PWY-5659	9
240	GDP-glucose biosynthesis	PWY-5661	9
241	GDP-L-fucose biosynthesis I (from GDP-D-mannose)	PWY-66	9
242	CMP-KDO biosynthesis I	PWY-1269	9
243	CMP-N-acetylneuraminate biosynthesis I (eukaryotes)	PWY-6138	9
244	glycogen biosynthesis II (from UDP-D-Glucose)	PWY-5067	9
245	glutamate dependent acid resistance	PWY0-1305	9
246	removal of superoxide radicals	DETOX1-PWY	9
247	Macromolecule Modification	Macromolecule-Modification	9
248	Metabolic Clusters	Metabolic-Clusters	9
249	Superpathways	Super-Pathways	9
250	Transport	Transport-Pathways	9
251	Degradation/Utilization/Assimilation	Degradation	9
252	Signal transduction pathways	Signaling-Pathways	9
253	Generation of Precursor Metabolites and Energy	Energy-Metabolism	9
254	Biosynthesis	Biosynthesis	9
255	Activation/Inactivation/Interconversion	Activation-Inactivation-Interconversion	9
256		Detoxification	9
257	Protein Modification	Protein-Modification	9
258	Protein Glycosylation	Protein-Glycosylation	9
259	Malate-oxaloacetate Shuttle	MALATE-OXALOACETATE-SHUTTLE	9
260	Inorganic Nutrients Metabolism	Noncarbon-Nutrients	9
261	Protein Degradation	Protein-Degradation	9
262	Nucleosides and Nucleotides Degradation	NUCLEO-DEG	9
263	Polymeric Compounds Degradation	Polymer-Degradation	9
264	Aromatic Compounds Degradation	AROMATIC-COMPOUNDS-DEGRADATION	9
265	Hormones Degradation	HORMONE-DEG	9
266	Carboxylates Degradation	CARBOXYLATES-DEG	9
267	Fatty Acid and Lipids Degradation	Fatty-Acid-and-Lipid-Degradation	9
268	Chlorinated Compounds Degradation	CHLORINATED-COMPOUNDS-DEG	9
269	Carbohydrates Degradation	Carbohydrates-Degradation	9
270	Amines and Polyamines Degradation	AMINE-DEG	9
271	Amino Acids Degradation	Amino-Acid-Degradation	9
272	Alcohols Degradation	Alcohol-Degradation	9
273	Secondary Metabolites Degradation	SECONDARY-METABOLITE-DEGRADATION	9
274	Cofactors, Prosthetic Groups, Electron Carriers Degradation	COFACTOR-DEGRADATION	9
275	C1 Compounds Utilization and Assimilation	C1-COMPOUNDS	9
276	Aldehyde Degradation	Aldehyde-Degradation	9
277	Steroids Degradation	Steroids-Degradation	9
278	Degradation/Utilization/Assimilation - Other	Other-Degradation	9
279	Phosphorus Compounds Metabolism	Phosphorus-Compounds	9
280	Nitrogen Compounds Metabolism	NITROGEN-DEG	9
281	Sulfur Compounds Metabolism	Sulfur-Metabolism	9
282	Manganese Oxidation	Manganese-Oxidation	9
283	Iron Metabolism	Iron-Metabolism	9
284	Selenium Metabolism	Selenium-Metabolism	9
285		2-Aminoethylphosphonate-Degradation	9
286	Methylphosphonate Degradation	Methylphosphonate-Degradation	9
287	PRPP Biosynthesis	PRPP-Biosynthesis	9
288	Nitrate Reduction	Nitrate-Reduction	9
289	Ammonia Assimilation	Ammonia-Assimilation	9
290	Taurine Degradation	Taurine-degradation	9
291	Denitrification	Denitrification	9
292	Ammonia Oxidation	Ammonia-oxidation	9
293	Nitrogen fixation	Nitrogen-Fixation	9
294	Thiosulfate Disproportionation	Thiosulfate-Disproportionation	9
295	Sulfide Oxidation	Sulfide-Oxidation	9
296	Sulfur Disproportionation	Sulfur-Disproportionation	9
297	Methylthiopropanoate Degradation	Methylthiopropionate-Degradation	9
298	Sulfur Oxidation	Sulfur-Oxidation	9
299	Tetrathionate Reduction	Tetrathionate-Reduction	9
300	Sulfate Reduction	Sulfate-Reduction	9
301	Hydrogen Sulfide Biosynthesis	Hydrogen-Sulfide-Biosynthesis	9
302	Sulfite Oxidation	Sulfite-Oxidation	9
303	Sulfur Reduction	Sulfur-reduction	9
304	Dimethylsulfide Degradation	Dimethylsulfide-Degradation	9
305	Dimethylsulfoniopropanoate Degradation	Dimethylsulfoniopropionate-Degradation	9
306	Sulfolactate Degradation	Sulfolactate-Degradation	9
307	Sulfoacetaldehyde Degradation	Sulfoacetaldehyde-Degradation	9
308	Thiosulfate Oxidation	Thiosulfate-Oxidation	9
309	Seleno-Amino Acid Detoxification	Seleno-Amino-Acid-Detoxification	9
310	Purine Nucleotides Degradation	Purine-Degradation	9
311	S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation	MTR-1P-Degradation	9
312	Pyrimidine Nucleotides Degradation	Pyrimidine-Degradation	9
313	S-methyl-5'-thioadenosine Degradation	Methylthioadenosine-Degradation	9
314	Adenosine Nucleotides Degradation	Adenosine-Nucleotides-Degradation	9
315	Guanosine Nucleotides Degradation	Guanosine-Nucleotides-Degradation	9
316	Pyrimidine Ribonucleosides Degradation	Pyrimidine-Ribonucleosides-Degradation	9
317	Pyrimidine Deoxyribonucleosides Degradation	Pyrimidine-Deoxyribonucleosides-Deg	9
318	Pyrimidine Nucleobases Degradation	Pyrimidine-Base-Degradation	9
319	Uracil Degradation	Uracil-Degradation	9
320	Polysaccharides Degradation	POLYSACCHARIDES-DEG	9
321	Cellulose Degradation	Cellulose-Degradation	9
322	Chitin Degradation	Chitin-Degradation	9
323	Glycosaminoglycan Degradation	Glycosaminoglycan-Degradation	9
324	Xylan Degradation	Xylan-Degradation	9
325	Starch Degradation	Starch-Degradation	9
326	Xyloglucan Degradation	Xyloglucan-Degradation	9
327	Carrageenan Degradation	Carrageenan-Degradation	9
328	Pectin Degradation	Pectin-Degradation	9
329	Glycans Degradation	Glycan-Pathways	9
330	Rhamnogalacturonan Type I Degradation	Rhamnogalacturonan-Degradation	9
331	Glycogen Degradation	Glycogen-Degradation	9
332	s-Triazine Degredation	s-Triazine-Degradation	9
333	Salicylate Degradation	Salicylate-Degradation	9
334	Chloroaromatic Compounds Degradation	Chloroaromatic-Compounds-Degradation	9
335	Benzoyl-CoA Degradation	Benzoyl-CoA-Degradation	9
336	Nitroaromatic Compounds Degradation	Nitroaromatic-Degradation	9
337	Phenolic Compounds Degradation	Phenolic-Compounds-Degradation	9
338	Gentisate Degradation	Gentisate-Degradation	9
339	Catechol Degradation	Catechol-Degradation	9
340	Fluorene Degradation	Fluorene-Degradation	9
341	Protocatechuate Degradation	Protocatechuate-Degradation	9
342	Quinate Degradation	Quinate-Degradation	9
343	Shikimate Degradation	Shikimate-Degradation	9
344	Gallate Degradation	GALLATE-DEG	9
345	Benzoate Degradation	Benzoate-Degradation	9
346	Toluenes Degradation	TOLUENE-DEG	9
347	Sulfoaromatic Compounds Degradation	Sulfoaromatics-Degradation	9
348	Urate Degradation	Urate-Degradation	9
349	Xylene Degradation	Xylene-Degradation	9
350	Vanillin Degradation	Vanillin-Degradation	9
351	2-Aminobenzoate Degradation	2-Aminobenzoate-Degradation	9
352	Mandelates Degradation	MANDELATE-DEG	9
353	Nicotinate Degradation	Nicotinate-Degradation	9
354	Naphthalene Degradation	Naphthalene-Degradation	9
355	Atrazine Degradation	Atrazine-Degradation	9
356	Chlorotoluene Degradation	Chlorotoluene-Degradation	9
357	Chlorocatechol Degradation	Chlorocatechol-Degradation	9
358	Chlorobenzoate Degradation	Chlorobenzoate-Degradation	9
359	Chlorobenzene Degradation	Chlorobenzene-Degradation	9
360	Dichlorotoluene Degradation	Dichlorotoluene-Degradation	9
361	3 Chlorotoluene Degradation	3-Chlorotoluene-Degradation	9
362	3-Chlorocatechol Degradation	3-Chlorocatechol-Degradation	9
363	3-Chlorobenzoate Degradation	3-Chlorobenzoate-Degradation	9
364	Nitrobenzoate Degradation	Nitrobenzoate-Degradation	9
365	Nitrobenzene Degradation	Nitrobenzene-Degradation	9
366	Nitrophenol Degradation	Nitrophenol-Degradation	9
367	Nitrotoluene Degradation	Nitro-Toluene-Degradation	9
368	Dinitrotoluene Degradation	Dinitrotoluene-Degradation	9
369	2-Nitrobenzoate Degradation	2-Nirobenzoate-Degradation	9
370	2-Nitrophenol Degradation	o-Nitrophenol-Degradation	9
371	4-Nitrophenol Degradation	p-Nitrophenol-Degradation	9
372	4-Nitrotoluene Degradation	4-Nitrotoluene-Degradation	9
373	Phenol Degradation	Phenol-Degradation	9
374	Phenylacetate Degradation	Phenylacetate-Degradation	9
375	Phenylethylamine Degradation	Phenylethylamine-Degradation	9
376	4-Toluenesulfonate Degradation	4-Toluenesulfonate-Degradation	9
377	Thyroid Hormone Metabolism	Thyroid-Hormone-Metabolism	9
378	Plant Hormones Degradation	PLANT-HORMONE-DEG	9
379	Melatonin Degradation	Melatonin-Degradation	9
380	Gibberellins Degradation	GIBBERELLINS-DEGRADATION	9
381	Auxins Degradation	AUXINS-DEGRADATION	9
382	Abscisic Acid Degradation	Abscisic-Acid-Degradation	9
383	Cytokinins Degradation	CYTOKININS-DEGRADATION	9
384	Oxalate Degradation	Oxalate-Degradation	9
385	Glycolate Degradation	Glycolate-Degradation	9
386	Propanoate Degradation	Propionate-Degradation	9
387	L-Ascorbate Degradation	Ascorbate-Degradation	9
388	Succinate Degradation	SUCC-DEG	9
389	Sugar Acids Degradation	SUGAR-ACIDS-DEG	9
390	Acetate Formation	Acetate-Formation	9
391	2-Oxobutanoate Degradation	2-Oxobutanoate-Degradation	9
392	Malonate Degradation	Malonate-Degradation	9
393	2-Methylcitrate Cycle	Methyl-Citrate-Cycle	9
394	D-Galacturonate Degradation	D-Galacturonate-Degradation	9
395	D-Glucarate Degradation	D-Glucarate-Degradation	9
396	D-Glucuronate Degradation	D-Glucuronate-Degradation	9
397	D-Galactarate Degradation	D-Galactarate-Degradation	9
398	Acetone Degradation	Acetone-Degradation	9
399	Fatty Acids Degradation	Fatty-Acid-Degradation	9
400	2-Chloroacrylate-Degradation	2-Chloroacrylates-Degradation	9
401	Carbon Tetrachloride Degradation	Carbon-tetrachloride-degradation	9
402	Sugars Degradation	Sugars-And-Polysaccharides	9
403	Sugars Degradation	Sugars-And-Polysaccharides-Degradation	9
404	Lactose Degradation	LACTOSE-DEG	9
405	L-rhamnose Degradation	L-rhamnose-Degradation	9
406	L-arabinose Degradation	L-Arabinose-Degradation	9
407	Xylose Degradation	Xylose-Degradation	9
408	Entner-Duodoroff Pathways	Entner-Duodoroff-Pathways	9
409	Sucrose Degradation	SUCROSE-DEG	9
410	D-arabinose Degradation	D-Arabinose-Degradation	9
411	Galactose Degradation	GALACTOSE-DEGRADATION	9
412	Trehalose Degradation	Trehalose-Degradation	9
413	Spermine and Spermidine Degradation	SPERMINE-SPERMIDINE-DEG	9
414	Urea Degradation	Urea-Degradation	9
415	N-acetylglucosamine degradation	N-Acetylglucosamine-Degradation	9
416	Glycine Betaine Degradation	Glycine-Betaine-Degradation	9
417	Allantoin Degradation	Allantoin-degradation	9
418	Putrescine Degradation	Putrescine-Degradation	9
419	Carnitine Degradation	CARN-DEG	9
420	Choline Degradation	Choline-Degradation	9
421	4-Aminobutyrate Degradation	4-Aminobutyraye-Degradation	9
422	Methylamine Degradation	Methylamine-Degradation	9
423	Creatinine Degradation	Creatinine-Degradation	9
424	N-Acetylneuraminate and N-Acetylmannosamine Degradation	NAN-MANNACs-degradation	9
425	Other Amino Acids Degradation	MISCELLANEOUS-DEG	9
426	Proteinogenic Amino Acids Degradation	Proteinogenic-Amino-Acids-Degradation	9
427	hydroxy-L-proline Degradation	Hydroxyprolines-Degradation	9
428	L-homoserine Degradation	HOMOSERINE-DEG	9
429	&beta;-Alanine Degradation	Beta-Alanine-Degradation	9
430	D-Amino Acids Degradation	D-Amino-Acid-Degradation	9
431	L-leucine Degradation	LEUCINE-DEG	9
432	L-lysine Degradation	LYSINE-DEG	9
433	L-valine Degradation	VALINE-DEG	9
434	L-tyrosine Degradation	TYROSINE-DEG	9
435	L-cysteine Degradation	CYSTEINE-DEG	9
436	Inferred from experiment	PROLINE-DEG	9
437	L-threonine Degradation	THREONINE-DEG	9
438	L-isoleucine Degradation	ISOLEUCINE-DEG	9
439	L-glutamine Degradation	GLUTAMINE-DEG	9
440	L-homocysteine Degradation	HOMOCYSTEINE-DEG	9
441	L-serine Degradation	SERINE-DEG	9
442	L-glutamate Degradation	GLUTAMATE-DEG	9
443	Glycine Degradation	GLYCINE-DEG	9
444	L-phenylalanine Degradation	PHENYLALANINE-DEG	9
445	L-arginine Degradation	ARGININE-DEG	9
446	L-histidine Degradation	HISTIDINE-DEG	9
447	L-tryptophan Degradation	TRYPTOPHAN-DEG	9
448	L-methionine Degradation	METHIONINE-DEG	9
449	L-aspartate Degradation	ASPARTATE-DEG	9
450	L-alanine Degradation	ALANINE-DEG	9
451	L-asparagine Degradation	ASPARAGINE-DEG	9
452	2,3-Butanediol Degradation	2-3-Butanediol-Degradation	9
453	Glycerol Degradation	GLYCEROL-DEG	9
454	Ethanol Degradation	Ethanol-Degradation	9
455	Phytoalexins Degradation	PHYTOALEXIN-DEG	9
456	Xanthones Degradation	XANTHONE-DEG	9
457	Terpenoids Degradation	TERPENOID-DEG	9
458	Polyketides Degradation	POLYKETIDE-DEG	9
459	Phenylpropanoid Derivatives Degradation	PHENYLPROPANOID-DERIVATIVE-DEG	9
460	Fatty Acid Derivatives Degradation	FATTY-ACID-DERIVATIVE-DEG	9
461	Nitrogen Containing Secondary Compounds Degradation	N-CONTAINING-SECONDARY-CMPD-DEG	9
462	Sugar Derivatives Degradation	Sugar-Derivatives	9
463	Flavonoids Degradation	FLAVONOID-DEG	9
464	Sesquiterpenoids Degradation	Sesquiterpenoid-Degradation	9
465	Carveol Degradation	Carveol-Degradation	9
466	Hemiterpenes Degradation	ISOPRENOIDS-DEG	9
467	Tetraterpenoids Degradation	Tetraterpenoid-Degradation	9
468	Limonene Degradation	Limonene-Degradation	9
469	Ginsenosides Degradation	Ginsenoside-Degradation	9
470	Camphor Degradation	Camphor-Degradation	9
471	Carotenoids Degradation	Carotenoid-Degradation	9
472	Nitrogen Containing Glucosides Degradation	N-CONTAINING-GLUCOSIDE-DEG	9
473	Alkaloids Degradation	ALKALOIDS	9
474	Cyanogenic Glucosides Degradation	CYANOGENIC-GLUCOSIDE-DEG	9
