,Enzyme Common Name,,EnzymeId
763,endopeptidase activity//threonine endopeptidase activity,primary,
764,nucleoside-triphosphatase activity,primary,669
765,kinase binding,primary,
766,ORF,primary,
767,ribonuclease III activity,primary,641
768,ammonium transmembrane transporter activity,primary,
769,binding//catalytic activity,primary,
770,protein serine/threonine phosphatase activity//protein binding,primary,
771,structural constituent of ribosome,primary,
772,ORF,primary,
773,structural constituent of chitin-based cuticle//structural constituent of chitin-based larval cuticle,primary,
774,ORF,primary,
775,binding,primary,
776,ORF,primary,
777,G-protein coupled receptor activity//G-protein coupled photoreceptor activity,primary,
778,ORF,primary,
779,gap junction channel activity,primary,
780,DNA binding//transcription coactivator activity,primary,
781,ORF,primary,
782,amine receptor activity//sequence-specific DNA binding//dopamine receptor activity//transcription factor activity//protein dimerization activity//octopamine receptor activity,primary,
783,ORF,primary,
784,ORF,primary,
785,carboxypeptidase A activity,primary,1442
786,ORF,primary,
787,ORF,primary,
788,low voltage-gated calcium channel activity,primary,
789,ORF,primary,
790,aldo-keto reductase activity,primary,
791,GTPase activity,primary,1171
792,DNA binding,primary,
793,protein binding//zinc ion binding,primary,
